Route,Date,Rating,Notes,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Rating,Length
Slab One,2022-11-11,5.5,,1,Nevada > Southern Nevada > Red Rocks > (03) First Pullout (Calico I) > The Slab,2.1,-1,Lead,Onsight,Sport,,60
Slab-A-Dab-A-Doo,2022-11-11,5.6,,1,Nevada > Southern Nevada > Red Rocks > (03) First Pullout (Calico I) > The Slab,2,3,Lead,Onsight,Sport,,60
Escapade,2022-10-02,5.11a,,1,California > San Diego County > South San Diego County > Mission Gorge > Main Wall,3.1,-1,TR,,"Sport, TR",,80
Dwarrowdelf,2022-08-13,5.8,,1,California > San Diego County > South San Diego County > Mission Gorge > Middle Earth,2.2,-1,Lead,Onsight,Trad,,30
Dimrill Stair,2022-08-13,5.8,,1,California > San Diego County > South San Diego County > Mission Gorge > Middle Earth,2.4,-1,Lead,Onsight,Trad,,25
Afterthought,2022-08-13,5.10a,,1,California > San Diego County > South San Diego County > Mission Gorge > Middle Earth,2.6,-1,TR,,"Sport, TR",,40
Global Warming,2022-06-24,5.4,,1,California > Sierra Eastside > Mammoth Lakes Area > Warming Wall,1,-1,Solo,,Trad,,40
Dwarrowdelf,2022-06-19,5.8,climbed with Jesse Hynd,1,California > San Diego County > South San Diego County > Mission Gorge > Middle Earth,2.2,-1,Lead,Flash,Trad,,30
Friction Seam,2021-11-15,V2,,1,California > San Diego County > South San Diego County > Santee Boulders > Moby Dick Area > Bullet Hole Wall,2.9,-1,Send,,Boulder,,
Finger Lickin' Good,2021-05-23,5.7,Really enjoyable,1,California > Tahquitz & Suicide Rocks > Suicide Rock > (t) Eagle Pinnacle,2.6,-1,Lead,Onsight,Trad,,60
Angel's Fright,2021-05-08,5.6,"Ascent in 2 pitches. Followed first half, led second half. ",2,California > Tahquitz & Suicide Rocks > Tahquitz Rock > (g) West Face > West Face - Center (Flintstone Slab),2.9,-1,Lead,Onsight,Trad,,400
Left Ski Track,2021-05-01,5.6,,3,California > Tahquitz & Suicide Rocks > Tahquitz Rock > (i) South Face > South Face - Left Side,3.1,-1,Lead,Onsight,Trad,,300
The Painted Crack,2020-12-30,5.8+ V0-,every jam is good. great for laps,1,California > San Diego County > South San Diego County > Santee Boulders > Hillside Area > Painted Crack Boulder,2.5,-1,Solo,,"Trad, Boulder",,15
The Butt Plug North Side,2020-12-30,V0- PG13,I like this boulder *,1,California > San Diego County > South San Diego County > Santee Boulders > Dog Pile Area > The Butt Plug,2.2,-1,Solo,,Boulder,,16
The Rain Gutter,2020-12-30,5.7,fun but short,1,California > San Diego County > North San Diego County > Lake Ramona > Sub-Summit,1.8,-1,Lead,Onsight,Trad,,40
Buissonier,2020-10-10,5.7+,,1,California > Joshua Tree National Park > Hidden Valley Area > Hidden Valley Campground > The Blob > The Blob - Southeast Face,2.5,3,Lead,Onsight,Trad,,
The Flue,2020-10-10,5.8,,1,California > Joshua Tree National Park > Hidden Valley Area > Hidden Valley Campground > Chimney Rock > Chimney Rock - East Face,2.5,3,Lead,Onsight,Trad,,70
Squiggy,2020-09-23,5.7,,1,California > San Diego County > North San Diego County > Mount Woodson South > Shirley and the Gang > New Sub-Area 1,2.5,-1,Lead,Onsight,TR,,
Johnny Quest,2020-08-30,5.10b,This is a must do.,1,California > Tahquitz & Suicide Rocks > Suicide Rock > (u) Northeast Buttress,3.3,4,TR,,Trad,,200
Little Murders,2020-08-30,5.4,,1,California > Tahquitz & Suicide Rocks > Suicide Rock > (v) North Face,2.1,2,Lead,Onsight,Trad,,150
Werner's Wish,2020-08-09,5.11b,"one hanger
",1,California > San Diego County > North San Diego County > Mount Woodson > Poison Oak Boulder Area,3.1,-1,TR,,TR,,25
[Redacted],2020-07-25,5.10+,super fun lie back movement up to jugs and technical enough. cool crux,1,California > San Diego County > North San Diego County > Cougar Crag > Cougar Crag East,2.8,-1,TR,,Trad,,45
The Long Climb,2020-06-28,5.8,Lead last pitch ,6,California > Tahquitz & Suicide Rocks > Tahquitz Rock > (d) Northwest Recess,3.2,-1,Follow,,Trad,,600
The Scoop,2020-06-13,V2,,1,California > Sierra Eastside > June Lake Area > * June Lake Bouldering > Hartley Springs > Warm Up Ridge > Muffin Tops Boulder,2.9,3,Send,,Boulder,,12
Riley Factor,2020-06-13,V2,,1,California > Sierra Eastside > June Lake Area > * June Lake Bouldering > Hartley Springs > Mad Max Area > Mad Max Boulder,1.8,-1,Send,,Boulder,,12
Riley problem,2020-06-13,V1,,1,California > Sierra Eastside > June Lake Area > * June Lake Bouldering > Hartley Springs > Mad Max Area > Mad Max Boulder,1.6,-1,Send,,Boulder,,15
Problem 24,2020-06-13,V-easy,,1,California > Sierra Eastside > Mammoth Lakes Area > * Mammoth Lakes Bouldering > Geophysics Wall,1,-1,Flash,,Boulder,,15
Problem 05,2020-06-13,V1+,,1,California > Sierra Eastside > Mammoth Lakes Area > * Mammoth Lakes Bouldering > Geophysics Wall,2.3,-1,Flash,,Boulder,,15
Problem 04,2020-06-13,V0,,1,California > Sierra Eastside > Mammoth Lakes Area > * Mammoth Lakes Bouldering > Geophysics Wall,1.5,-1,,,Boulder,,15
Problem 03,2020-06-13,V0-,,1,California > Sierra Eastside > Mammoth Lakes Area > * Mammoth Lakes Bouldering > Geophysics Wall,1.3,-1,Flash,,Boulder,,
Exodus,2020-06-12,5.10a R,,1,California > Sierra Eastside > Mammoth Lakes Area > Rock Creek > Iris Slab,2.7,-1,TR,,"Trad, TR",,
Crazy Bald Head,2020-06-12,5.10c R,,1,California > Sierra Eastside > Mammoth Lakes Area > Rock Creek > Iris Slab,2.3,-1,TR,,"Trad, TR",,
"Get Up, Stand Up",2020-06-12,5.7,,1,California > Sierra Eastside > Mammoth Lakes Area > Rock Creek > Iris Slab,2.5,-1,TR,,"Trad, TR",,
Concrete Jungle,2020-06-12,5.7,,1,California > Sierra Eastside > Mammoth Lakes Area > Rock Creek > Iris Slab,2.3,-1,Lead,Onsight,"Trad, TR",,
The Tube,2020-06-11,5.9+,,1,California > Sierra Eastside > Eastern Hills > Sagehen Summit Area > Granite Basin > East Tower,2.5,-1,TR,,Sport,,60
Dick Van Dyke,2020-06-11,5.8,really fun climb,1,California > Sierra Eastside > Eastern Hills > Sagehen Summit Area > Granite Basin > Northeast Face,2.9,-1,Lead,Onsight,Sport,,
Etude,2020-06-05,5.11a,,1,California > Tahquitz & Suicide Rocks > Suicide Rock > (u) Northeast Buttress,3.6,-1,TR,,Trad,,160
Flower of High Rank,2020-06-05,5.9,,1,California > Tahquitz & Suicide Rocks > Suicide Rock > (u) Northeast Buttress,3.9,4,Follow,,Trad,,160
Enter Slabman,2019-11-16,5.7,,1,California > San Diego County > North San Diego County > Cougar Crag > Cougar Crag East,2,2,Lead,Onsight,Sport,,50
Insecurity Never Wins,2019-11-16,5.10a,Tronsite in the past,1,California > San Diego County > North San Diego County > Cougar Crag > Cougar Crag East,3,-1,Lead,Flash,Sport,,55
Norwegian Wood,2019-10-10,5.9,,1,California > Joshua Tree National Park > Central Joshua Tree > Echo Rock Area > Snickers > Snickers - North Face,2.6,-1,Lead,Onsight,Trad,,90
Lieback Rock Lieback,2019-09-19,5.11a V2,,1,California > San Diego County > South San Diego County > Santee Boulders > Moby Dick Area > Lieback Rock,3.3,-1,Solo,,Boulder,,
Shark's Fin Arete,2019-09-09,5.7,,1,California > Sierra Eastside > Lone Pine Area > Alabama Hills > Alabama Hills North > The Shark's Fin,2.6,3,Lead,Onsight,Sport,,60
Regular Route,2019-08-30,5.9,Russel rope gun’d me up – What an experience,12,California > Yosemite National Park > Tuolumne Meadows > Fairview Dome > North Face,3.7,-1,Follow,,Trad,,1000
Quack of Ducks,2019-08-25,5.9,,1,California > San Diego County > South San Diego County > Mission Gorge > Main Wall,2.7,-1,Lead,Onsight,Trad,,40
